                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.305,                  3.252,                 1.3187,                 0.0039,                0.98645,                0.56572,                0.38079,                 1.1196,                 3.2262,                  1.092,             0.00029997,             0.00029997,             0.00029997
                      2,                 1.2246,                 2.1757,                 1.2179,                0.91439,                0.16352,                0.68673,                0.45559,                 1.1707,                 2.8662,                 1.1371,             0.00059895,             0.00059895,             0.00059895
                      3,                 1.2442,                 1.9152,                 1.2205,                  0.751,                0.61451,                0.85967,                0.54745,                 1.2639,                 2.1903,                 1.2218,             0.00088561,             0.00088561,             0.00088561
                      4,                 1.1907,                 1.7569,                 1.1803,                0.78049,                0.89312,                0.93867,                0.63756,                 1.1093,                 1.3783,                 1.1409,               0.001045,               0.001045,               0.001045
                      5,                 1.1588,                 1.6181,                 1.1986,                0.88506,                0.85935,                0.90778,                 0.6149,                 1.1542,                 1.4083,                 1.1988,               0.001023,               0.001023,               0.001023
                      6,                 1.1444,                 1.5034,                 1.1784,                0.77014,                0.75981,                0.88796,                0.61986,                 1.0502,                 1.5446,                 1.0807,               0.001001,               0.001001,               0.001001
                      7,                 1.1536,                 1.5011,                 1.1541,                0.91678,                0.95166,                0.97401,                0.70388,                  1.015,                0.95389,                 1.0763,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.1331,                 1.3574,                 1.1848,                0.93951,                0.89814,                0.97162,                0.68774,                 1.0191,                 1.0535,                 1.0447,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.1235,                 1.3016,                  1.154,                0.93902,                0.93244,                0.97153,                0.70946,                 1.0104,                0.87195,                  1.033,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.0742,                 1.2388,                 1.1406,                0.96219,                0.96353,                0.98445,                0.70924,                 1.0052,                 0.7809,                 1.0151,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.0881,                 1.1038,                 1.1315,                0.95259,                0.94592,                0.98228,                0.72924,                0.96892,                0.78178,                 1.0177,             0.00089102,             0.00089102,             0.00089102
                     12,                  1.039,                 1.0459,                 1.1074,                0.98016,                0.95825,                0.98773,                0.73886,                0.92243,                0.78624,                0.99922,             0.00086902,             0.00086902,             0.00086902
                     13,                0.99215,                  1.063,                 1.1032,                 0.9705,                 0.9782,                0.99363,                0.75885,                0.89187,                0.65372,                 0.9852,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.0757,                 1.0451,                  1.103,                0.97281,                0.98599,                0.99377,                0.76073,                0.88729,                 0.6513,                0.96128,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.0052,                0.95232,                 1.0717,                0.97238,                0.97907,                0.98783,                0.74852,                 0.9436,                 0.6201,                0.99345,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.0303,                0.93015,                  1.103,                0.99434,                0.99805,                0.99496,                0.75684,                0.88985,                0.58123,                0.99006,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.0233,                0.91952,                 1.1006,                0.97582,                0.98476,                0.99216,                  0.782,                0.84618,                 0.5891,                0.97965,             0.00075904,             0.00075904,             0.00075904
                     18,                0.95901,                 0.8406,                 1.0794,                0.99421,                0.99425,                0.99437,                0.79865,                0.80172,                0.53154,                0.94449,             0.00073704,             0.00073704,             0.00073704
                     19,                0.97087,                0.83548,                 1.0573,                0.99232,                0.98891,                0.99401,                0.78396,                0.82387,                0.54841,                0.94948,             0.00071504,             0.00071504,             0.00071504
                     20,                0.92641,                0.79775,                 1.0534,                0.99009,                0.98946,                0.99279,                 0.8027,                0.80397,                0.52285,                0.93451,             0.00069304,             0.00069304,             0.00069304
                     21,                0.92989,                0.77244,                 1.0461,                0.99351,                0.98772,                 0.9944,                0.76605,                0.86189,                  0.579,                0.96017,             0.00067104,             0.00067104,             0.00067104
                     22,                0.94188,                0.78136,                 1.0537,                0.97904,                0.98332,                0.99338,                0.79845,                0.77843,                0.52386,                0.93157,             0.00064905,             0.00064905,             0.00064905
                     23,                0.87978,                0.72691,                  1.041,                0.98491,                0.99143,                0.99364,                0.80663,                0.77501,                0.49622,                 0.9297,             0.00062705,             0.00062705,             0.00062705
                     24,                0.95042,                0.75664,                 1.0701,                0.98584,                0.99366,                0.99486,                0.81317,                0.74712,                0.48791,                0.92204,             0.00060505,             0.00060505,             0.00060505
                     25,                0.86065,                0.70786,                 1.0143,                0.98098,                0.98544,                0.99477,                0.81934,                0.72309,                0.46947,                  0.906,             0.00058305,             0.00058305,             0.00058305
                     26,                0.84434,                0.69755,                 1.0027,                0.98073,                0.99035,                0.99453,                0.80561,                0.78629,                0.50288,                0.94026,             0.00056105,             0.00056105,             0.00056105
                     27,                0.83684,                0.68667,                 1.0247,                0.99736,                0.99875,                  0.995,                0.82105,                0.72227,                0.44877,                0.90842,             0.00053906,             0.00053906,             0.00053906
                     28,                0.86532,                0.67838,                 1.0106,                0.99313,                0.99778,                  0.995,                0.82732,                0.72286,                0.45191,                0.90067,             0.00051706,             0.00051706,             0.00051706
                     29,                0.85278,                0.65866,                 1.0101,                 0.9984,                      1,                  0.995,                0.82766,                0.72198,                0.43304,                0.90726,             0.00049506,             0.00049506,             0.00049506
                     30,                0.84396,                0.62188,                 1.0056,                0.99652,                0.99766,                0.99363,                0.82488,                0.71701,                0.43809,                0.89457,             0.00047306,             0.00047306,             0.00047306
                     31,                0.84519,                0.65204,                0.99634,                0.99863,                0.99964,                  0.995,                0.82639,                0.69743,                0.42864,                0.88165,             0.00045107,             0.00045107,             0.00045107
                     32,                0.81061,                0.61795,                 1.0031,                0.99826,                      1,                  0.995,                0.82917,                0.70108,                0.41693,                 0.8897,             0.00042907,             0.00042907,             0.00042907
                     33,                0.81778,                0.61546,                 1.0027,                0.99748,                0.99948,                  0.995,                0.83417,                0.67461,                0.41946,                 0.8876,             0.00040707,             0.00040707,             0.00040707
                     34,                0.78737,                 0.6014,                0.98474,                0.99852,                0.99889,                  0.995,                0.85057,                 0.6464,                0.39972,                0.87523,             0.00038507,             0.00038507,             0.00038507
                     35,                 0.8266,                0.61419,                 1.0156,                 0.9951,                0.99922,                  0.995,                0.83044,                0.70466,                0.41912,                0.89467,             0.00036307,             0.00036307,             0.00036307
                     36,                0.77644,                0.58393,                0.98577,                 0.9978,                      1,                  0.995,                0.85032,                0.65626,                0.40861,                0.88145,             0.00034108,             0.00034108,             0.00034108
                     37,                0.79408,                 0.6203,                0.98056,                0.99831,                      1,                  0.995,                0.84917,                0.65041,                0.39232,                0.87669,             0.00031908,             0.00031908,             0.00031908
                     38,                0.78377,                 0.5708,                0.98133,                0.99837,                      1,                  0.995,                0.85002,                0.63529,                0.37795,                0.86865,             0.00029708,             0.00029708,             0.00029708
                     39,                0.74986,                0.56503,                0.97464,                0.99835,                      1,                  0.995,                0.86051,                  0.615,                0.38209,                0.86216,             0.00027508,             0.00027508,             0.00027508
                     40,                0.72836,                0.56099,                0.97257,                0.99831,                      1,                  0.995,                 0.8562,                0.62084,                0.37493,                0.86508,             0.00025309,             0.00025309,             0.00025309
                     41,                 0.6875,                0.54338,                0.93067,                0.99808,                      1,                  0.995,                0.86131,                0.60228,                0.38049,                0.86143,             0.00023109,             0.00023109,             0.00023109
                     42,                0.65922,                0.49993,                0.92137,                0.99776,                0.99953,                  0.995,                0.85646,                0.61302,                0.37603,                0.86319,             0.00020909,             0.00020909,             0.00020909
                     43,                0.63702,                0.48677,                0.90311,                0.99842,                      1,                  0.995,                0.86756,                0.59132,                0.36562,                 0.8564,             0.00018709,             0.00018709,             0.00018709
                     44,                0.63406,                0.46684,                0.90566,                0.99875,                      1,                  0.995,                0.85948,                0.60052,                0.36912,                0.85891,             0.00016509,             0.00016509,             0.00016509
                     45,                0.63703,                0.47441,                0.90518,                0.99878,                      1,                  0.995,                 0.8713,                0.57909,                 0.3563,                0.85015,              0.0001431,              0.0001431,              0.0001431
                     46,                0.61035,                0.46271,                0.89724,                0.99888,                      1,                  0.995,                0.87543,                  0.566,                0.35216,                0.84506,              0.0001211,              0.0001211,              0.0001211
                     47,                0.61027,                0.45718,                0.89496,                0.99881,                      1,                  0.995,                0.87168,                0.56108,                0.35014,                0.84525,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.59611,                0.44324,                0.88789,                 0.9987,                      1,                  0.995,                0.88132,                0.54395,                0.34322,                0.84016,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.59345,                0.44613,                0.88067,                0.99889,                      1,                  0.995,                0.88808,                0.53625,                0.33691,                0.83755,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.57171,                 0.4397,                0.87441,                0.99887,                      1,                  0.995,                0.88979,                 0.5293,                 0.3347,                0.83584,             3.3108e-05,             3.3108e-05,             3.3108e-05
